step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
24821,2023-07-03 14:20:19.003757773,1,192.99,1.0,-0.09729881803554472,0.08031621803554471,0.0,0.0169826
24822,2023-07-03 14:20:19.003757773,2,192.99,1.0,-0.14397369102150787,0.12699109102150788,0.0,0.0169826
24824,2023-07-03 14:20:19.235327913,1,192.99,1.0,-0.16554637030933417,0.13911177030934327,0.009999999999990905,0.0164346
24825,2023-07-03 14:20:21.927988768,2,192.99,1.0,-0.2704244820430158,0.25398218204301576,0.0,0.0164423
24827,2023-07-03 14:20:27.164908196,1,192.995,1.0,-0.042533018204301574,0.025398218204301576,0.0,0.0171348
24834,2023-07-03 14:20:29.900105259,2,193.0,1.0,-0.21187941576341013,0.19508741576341013,0.0,0.016792
24836,2023-07-03 14:20:29.900105259,2,193.0,1.0,-0.07953117497640569,0.062212674976405695,0.0,0.0173185
24840,2023-07-03 14:20:29.900105259,2,193.0,1.0,-0.04363331820430158,0.025398218204301576,0.0,0.0182351
24844,2023-07-03 14:20:29.900105259,1,193.0,1.0,-0.04363331820430158,0.025398218204301576,0.0,0.0182351
24848,2023-07-03 14:20:29.900105259,1,193.0,1.0,-0.27290428204301576,0.25398218204301576,0.0,0.0189221
24854,2023-07-03 14:20:29.900105259,2,193.0,1.0,-0.39563855484333377,0.37671645484333377,0.0,0.0189221
24856,2023-07-03 14:20:29.900105259,1,193.0,1.0,-0.28058968204300666,0.25398218204301576,0.009999999999990905,0.0166075
24867,2023-07-03 14:20:37.866580291,1,192.99,1.0,-0.3803647446981493,0.35375624469815836,0.009999999999990905,0.0166085
24868,2023-07-03 14:20:37.866600606,2,192.99,1.0,-0.40948934154324956,0.38266274154325863,0.009999999999990905,0.0168266
24870,2023-07-03 14:20:37.866605410,1,192.99,1.0,-0.05215591820429248,0.025398218204301576,0.009999999999990905,0.0167577
24872,2023-07-03 14:20:38.055703112,2,192.985,1.0,-0.1497302755001838,0.12180557550016448,0.010000000000019327,0.0179247
24878,2023-07-03 14:20:39.902314644,2,192.98,1.0,-0.25055016024598,0.22286846024596063,0.010000000000019327,0.0176817
24879,2023-07-03 14:20:39.902314644,1,192.98,1.0,-0.053079918204320904,0.025398218204301576,0.010000000000019327,0.0176817
24882,2023-07-03 14:20:39.902314644,2,192.98,1.0,-0.2816638820430351,0.25398218204301576,0.010000000000019327,0.0176817
24884,2023-07-03 14:20:40.677201149,2,192.98,1.0,-0.05296801820429248,0.025398218204301576,0.009999999999990905,0.0175698
24900,2023-07-03 14:20:44.103552330,1,192.96,1.0,-0.2705557820430158,0.25398218204301576,0.0,0.0165736
24904,2023-07-03 14:20:46.044633323,2,192.96,1.0,-0.27067378204301573,0.25398218204301576,0.0,0.0166916
24906,2023-07-03 14:20:46.652854297,1,192.97,1.0,-0.27141358204301574,0.25398218204301576,0.0,0.0174314
24913,2023-07-03 14:20:48.761878322,1,192.99,1.0,-0.27141358204301574,0.25398218204301576,0.0,0.0174314
24914,2023-07-03 14:20:48.761878322,1,192.99,1.0,-0.13559140293689045,0.11912820293689044,0.0,0.0164632
24930,2023-07-03 14:20:50.943981536,1,193.0,1.0,-0.28049818204300664,0.25398218204301576,0.009999999999990905,0.016516
24933,2023-07-03 14:20:53.576390799,1,192.98,1.0,-0.27072088204301575,0.25398218204301576,0.0,0.0167387
24934,2023-07-03 14:20:53.576390799,1,192.98,1.0,-0.27072088204301575,0.25398218204301576,0.0,0.0167387
24935,2023-07-03 14:20:53.576390799,2,192.98,1.0,-0.27072088204301575,0.25398218204301576,0.0,0.0167387
24938,2023-07-03 14:20:56.799078395,1,192.97,1.0,-0.28138888204300666,0.25398218204301576,0.009999999999990905,0.0174067
24941,2023-07-03 14:20:56.799109900,1,192.97,1.0,-0.63166002201461,0.6047763220146191,0.009999999999990905,0.0168837
24943,2023-07-03 14:21:00.018823551,1,192.96,1.0,-0.2804396820430067,0.25398218204301576,0.009999999999990905,0.0164575
24945,2023-07-03 14:21:00.019083769,1,192.96,1.0,-0.06277870464465385,0.03591850464463453,0.010000000000019327,0.0168602
24950,2023-07-03 14:21:00.049182770,1,192.95,1.0,-0.2808423820430351,0.25398218204301576,0.010000000000019327,0.0168602
24951,2023-07-03 14:21:00.645689780,2,192.94,1.0,-0.05232651820429248,0.025398218204301576,0.009999999999990905,0.0169283
24952,2023-07-03 14:21:00.645689780,2,192.94,1.0,-0.12852117281719722,0.1015928728172063,0.009999999999990905,0.0169283
24958,2023-07-03 14:21:01.369745894,2,192.92,1.0,-0.0525639182043209,0.025398218204301576,0.010000000000019327,0.0171657
24959,2023-07-03 14:21:01.369745894,2,192.92,1.0,-0.0525639182043209,0.025398218204301576,0.010000000000019327,0.0171657
24961,2023-07-03 14:21:01.369745894,2,192.92,1.0,-0.07869663640859406,0.05079643640860315,0.009999999999990905,0.0179002
